Date Received,Company ,City/County,Potential Number Affected,Layoff Date,Phone Number,Union  ,Notice ID  
6/3/2020,The Ritz-Carlton Hotel Co. LLC  ,Cleveland/Cuyahoga,200,3/21/2020,(216) 902-5232,None,119-20-149*
6/3/2020,"Homewood Suites Columbus (Crescent Hotels & Resorts, LLC)  ",Columbus/Franklin,4,3/20/2020,(703) 563-4931,None,119-20-148*
06/03/2020 Updated 07/14/2020,"GSW Manufacturing, Inc.  ",Findlay/Hancock,61,07/31/2020-09/04/2020,(419) 423-7111,None,007-20-077
6/2/2020,"Renaissance Hotel Mgmt Co., LLC  ",Columbus/Franklin,158,3/21/2020,(614) 233-7501,None,119-20-147*
6/2/2020,"Cleveland Indians Baseball Company, LLC  ",Cleveland/Cuyahoga,1146,3/13/2020,(216) 420-4563,"IATSE Treasurers and Ticket Sellers (Local 756), SEIU (Local 1) and IATSE (Local 27)",119-20-146*
6/1/2020,Cincinnati Museum Center  ,Cincinnati/Hamilton,175,07/01/2020-08/01/2020,(513) 287-7010,None,013-20-076
5/26/2020,Boyd Gaming - Belterra Park Gaming & Entertainment Center  ,Cincinnati/Hamilton,361,07/01/2020-07/14/2020,(702) 692-4153,"Local B754 of the International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO, CLC (“IATSE”)",119-20-145*
5/22/2020,21C Museum Hotel  ,Cincinnati/Hamilton,158,05/20/2020-07/01/2020,(502) 882-6228,None,013-20-075
5/21/2020,"Schneller, Inc.  ",Kent/Portage,50,5/18/2020,(330) 676-7141,None,119-20-144*
5/21/2020,"Poma Glass and Specialty Windows, Inc.  ",Boardman/Mahoning,57,7/25/2020,(404) 446-4256,None,017-20-074
5/18/2020,Verso Corporation  ,Miamisburg/Montgomery,59,Unknown,(937) 528-3457,None,007-20-073
5/20/2020,"PCC Airfoils, LLC  ",Crooksville/Perry,122,5/22/2020,(740) 469-1134,None,014-20-072
05/18/2020 Updated 06/23/2020,The Michaels Companies  ,Strongsville/Cuyahoga,217,07/18/2020-09/04/2020,(972) 409-7628,None,003-20-071
5/14/2020,"LAZ Parking Midwest, LLC  ",Cleveland/Cuyahoga,62,03/12/2020-04/16/2020,(312) 771-1939,None,119-20-143*
5/14/2020,"LAZ Parking Midwest, LLC  ",Columbus/Franklin,154,03/15/2020-04/11/2020,(312) 771-1939,None,119-20-142*
5/14/2020,Nine Energy Service  ,Marietta/Washington,60,03/12/2020-04/09/2020,(346) 266-4604,None,015-20-070
5/13/2020,International Exposition Center (I-X Center)  ,Cleveland/Cuyahoga,176,03/20/2020-04/03/2020,(216) 265-2630,"International Brotherhood of Teamsters, Local 507",119-20-141*
5/12/2020,Enterprise Holdings  ,Columbus/Franklin,35,4/30/2020,(513) 538-6245,None,011-20-069
5/12/2020,Enterprise Holdings  ,Blue Ash/Hamilton,14,4/30/2020,(513) 538-6245,None,013-20-068
5/12/2020,Enterprise Holdings  ,Columbus/Franklin,3,4/30/2020,(513) 538-6245,None,011-20-067
5/12/2020,Enterprise Holdings  ,Columbus/Franklin,66,3/23/2020,(513) 538-6245,None,119-20-140*
5/12/2020,Enterprise Holdings  ,Blue Ash/Hamilton,163,3/23/2020,(513) 538-6245,None,119-20-139*
5/12/2020,Enterprise Holdings  ,Columbus/Franklin,80,3/23/2020,(513) 538-6245,None,119-20-138*
5/11/2020,"Collegiate Hotel Group, LLC  ",Columbus/Franklin,135,3/16/2020,(502) 489-3737,None,119-20-137*
5/11/2020,HMS Host Corporation  ,Mantua/Portage,84,6/1/2020,(813) 326-5052,None,019-20-066
5/11/2020,ASWPengg LLC  ,Bedford Heights/Cuyahoga,122,6/30/2020,(216) 292-4620,None,003-20-065
5/11/2020,Cox Automotive  ,Hamilton/Butler,80,5/17/2020,(678) 645-2220,None,119-20-136*
5/11/2020,Cox Automotive  ,Grove City/Franklin,117,5/17/2020,(678) 645-220,None,119-20-135*
5/11/2020,VSP Global  ,Columbus/Franklin,128,5/1/2020,(916) 281-6373,None,011-20-064
5/11/2020,"Specialty Retailers, Inc. (Stage Distribution Center)  ",Jeffersonville/Fayette,287,5/7/2020,(713) 331-5010,None,007-20-063
5/7/2020,QMax America Inc.  ,Newcomerstown/Tuscarawas,70,5/8/2020,(918) 549-1561,None,006-20-062
5/7/2020,DoubleTree Cleveland Downtown  ,Cleveland/Cuyahoga,97,3/21/2020,(703) 563-4931,"CMRJB/Workers United Local 10, Textile Processors, Service Trades, Health Care, Professionals and Technical Employees Local 1",119-20-134*
05/07/2020 Updated 07/02/2020,Hilton Columbus Polaris  ,Columbus/Delaware,94,03/21/2020-08/31/2020,(703) 563-4931,None,119-20-133*
5/6/2020,Hyatt Regency Cincinnati  ,Cincinnati/Hamilton,73,5/6/2020,(513) 354-4110,None,119-20-132*
5/6/2020,Northfield Park Associates -MGM Northfield Park  ,Northfield/Summit,937,03/02/2020-03/15/2020,(855)464-6747,"Unite Here, Teamsters Local 436, Teamsters Local 473, IATSE Local 756",119-20-131*
5/5/2020,MGM Resorts Satellite LLC  ,Northfield/Summit,1,03/02/2020-03/15/2020,(855) 464-6747,None,119-20-130*
5/5/2020,Brentwood Originals Inc.  ,Youngstown/Mahoning,19,5/1/2020,(310) 637-6804,None,119-20-129*
05/05/2020 Updated 06/01/2020,B&C Research Inc.  ,Barberton/Summit,121,04/03/2020-06/01/2020,(330) 319-2750,None,002-20-061
5/5/2020,Licking County Library  ,Various Cities/Licking,58,5/11/2020,(740) 349-5505,None,119-20-128*
5/5/2020,ArcelorMittal Warren LLC  ,Warren/Trumbull,2,4/26/2020,(330) 841-2803,None,119-20-127*
5/4/2020,"Mitec-Powertrain, Inc. & Automotive, Inc.  ",Findlay/Hancock,186,Unknown,(248) 642-5660,None,007-20-060
5/1/2020,"Great Lakes Specialty Finance, Inc.  ",Fairfield/Butler,2,6/5/2020,(513) 430-9332,None,012-20-059
4/30/2020,"LeSaint Logistics, LLC  ",Cleveland/Cuyahoga,70,6/19/2020,(513) 601-4363,None,003-20-058
4/30/2020,The Hall China Company  ,East Liverpool/Columbiana,40,04/30/2020-05/30/2020,(304) 387-1300,None,017-20-057
4/30/2020,The Shelly Company  ,Thornville/Perry,22,3/13/2020,(740) 334-2821,None,119-20-126*
4/30/2020,Atrium Hospitality (Marriott)  ,Columbus/Franklin,104,3/12/2020,(678) 335-6956,None,119-20-125*
4/30/2020,Atrium Hospitality (Holiday Inn & Suites)  ,Cincinnati/Clermont,60,3/12/2020,(678) 335-6956,None,119-20-124*
4/29/2020,ArcelorMittal USA LLC  ,Richfield/Summit,2,4/26/2020,(219) 399-2098,None,119-20-123*
4/29/2020,"DBOH Associates, LLC  ",Beachwood/Cuyahoga,85,3/20/2020,(216) 464-5950,None,119-20-122*
4/29/2020,"Sodexo, Inc.  ",Middletown/Butler,57,6/30/2020,(513) 787-1225,"Ohio Education Association, Midd-Roe Employees Union",012-20-056
4/28/2020,Enterprise Holdings  ,Hudson/Summit  ,94,3/22/2020,(440) 885-6915,None  ,119-20-121*
4/28/2020,Enterprise Holdings  ,Cleveland/Cuyahoga,65,3/22/2020,(440) 885-6915  ,None  ,119-20-120*
4/28/2020,Enterprise Holdings  ,Brookpark/Cuyahoga,92,3/22/2020,(440) 885-6915,None,119-20-119*
4/28/2020,Enterprise Holdings  ,Hudson/Summit,1,4/30/2020,(440) 885-6915,None,002-20-055
4/28/2020,Enterprise Holdings  ,Cleveland/Cuyahoga,14,4/30/2020,(440) 885-6915,None,003-20-054
4/28/2020,Enterprise Holdings  ,Brookpark/Cuyahoga,1,4/30/2020,(440) 885-6915,None  ,003-20-053
4/28/2020,American Energy Corporation  ,Beallsville/Monroe,110,5/2/2020,(740) 338-3100,None,119-20-118*
4/28/2020,"Great Lakes Specialty Finance, Inc.  ",Akron/Summit,1,4/21/2020,(513) 430-9332,None,002-20-052
4/28/2020,"Eat'n Park Hospitality Group, Inc.  ",Various Cities/Various Counties,688,01/08/2020-04/06/2020,(412) 461-2000,None,119-20-117*
4/27/2020,"OS Restaurant Services, LLC  ",Various Cities/Various Counties,3360,3/15/2020,(813) 282-1225,None,119-20-116*
4/27/2020,"Constant Aviation, LLC  ",Richmond Heights/Cuyahoga,52,05/10/2020-05/15/2020,(216) 331-1724,None,003-20-051
4/27/2020,"Belcan, LLC  ",Blue Ash/Hamilton,720,4/24/2020,(800) 423-5226,None,119-20-115*
4/23/2020,"Visionworks, Inc.  ",Various Cities/Various Counties,53,4/2/2020,(833) 663-4748,None,119-20-114*
4/22/2020,"Gradall Industries, Inc.  ",New Philadelphia/Tuscarawas,103,02/28/2020-03/24/2020,(330) 339-8415,International Association of Machinists and Aerospace Workers,119-20-113*
4/22/2020,"Apex Environmental, LLC  ",Amsterdam/Jefferson,49,03/26/2020-04/10/2020,(973) 286-7064,"International Union of Operating Engineers, Local 18",119-20-112*
4/22/2020,Urbana University (Franklin University)  ,Urbana/Champaign,321,04/21/2020-05/21/2020,(614) 947-6542,None,007-20-050
4/21/2020,"IAC Wauseon, LLC  ",Wauseon/Fulton,125,4/27/2020,(419) 337-9558,"UAW, Local 86",007-20-049
04/21/2020 Updated 04/28/2020,ArcelorMittal Cleveland USA  ,Cleveland/Cuyahoga  ,403,04/19/2020-04/26/2020,(216) 420-6062,None,119-20-111*
4/20/2020,"Maines Paper & Food Service, Inc.  ",Oakwood Village/Cuyahoga,63,4/17/2020,(607) 779-1343,None,119-20-110*
4/20/2020,"Avis Budget Car Rental, LLC  ",Cleveland/Cuyahoga,44,03/13/2020-03/25/2020,(214) 298-3296,None,119-20-109*
4/20/2020,"Avis Budget Car Rental, LLC  ",Columbus/Franklin,29,03/20/2020-03/24/2020,(214) 298-3296,None,119-20-108*
04/20/2020 Updated 05/14/2020,"Miller's Ale House, Inc.  ",Columbus/Franklin,67,5/13/2020,(407) 547-1219,None,119-20-107*
04/20/2020 Updated 05/14/2020,"Miller's Ale House, Inc.  ",Columbus/Franklin,64,5/13/2020,(407) 547-1219,None,119-20-106*
4/16/2020,Blair Rubber Company  ,Seville/Medina,12,4/19/2020,(800) 321-5583,None,119-20-105*
4/16/2020,"Green Tokai Co., LTD  ",Brookville/Montgomery,543,3/23/2020,(937) 286-3256,None,119-20-104*
4/16/2020,"Certech, Inc.  ",Twinsburg/Summit,40,4/20/2020,(440) 600-4764,None,002-20-048
4/15/2020,"Westar Hotel Partners, LLC (Renaissance Columbus Westerville)  ",Westerville/Delaware,105,3/20/2020,(614) 882-6800,None,119-20-103*
4/15/2020,"Fulton County Processing, LTD  ",Delta/Fulton,58,4/17/2020,(419) 822-9266,None,119-20-102*
4/15/2020,ArcelorMittal Columbus LLC  ,Columbus/Franklin,122,4/19/2020,(614) 492-6816,"United Steel Workers Local #9309, United Steel Workers Local #2342-01",119-20-101*
4/15/2020,"Profusion Industries, LLC  ",Marietta/Washington,159,03/30/2020-04/20/2020,(740) 374-0803,"The International Chemical Workers Union Council, Local 343C",119-20-100*
04/15/2020 Updated 06/03/2020,"Pier 1 Imports, Inc.   ",Groveport/Franklin,221,8/31/2020,(817) 252-7700,None,011-20-047
4/15/2020,Hilton Cincinnati Netherland Plaza  ,Cincinnati/Hamilton,229,3/19/2020,(865) 293-5251,None,119-20-099*
4/15/2020,CBCS  ,Dayton/Montgomery,17,3/23/2020,(919) 281-8336,None,119-20-098*
4/15/2020,Scholastic Book Fairs  ,West Chester/Butler,142,3/18/2020,(513) 714-1023,None,119-20-097*
04/15/2020 Updated 05/05/2020,"HCFS Health Care Financial Services, LLC  ",Akron/Summit,181,04/15/2020-06/01/2020,(865) 293-5251,None,119-20-096*
4/14/2020,"Advanced Composites, Inc.  ",Sidney/Shelby,210,4/13/2020,(615) 369-1108,None,119-20-095*
4/14/2020,Crowne Plaza Dayton  ,Dayton/Montgomery,130,3/16/2020,(937) 229-9836,None,007-20-046
4/14/2020,Race Winning Brands  ,Mentor/Lake,67,4/14/2020,(440) 951-6600,None,005-20-045
4/14/2020,Concord Dayton Hotel II LLC (Marriott at the University of Dayton)  ,Dayton/Montgomery,160,3/20/2020,(937) 226-6835,None,119-20-094*
4/14/2020,"Vitro Automotive/Pittsburgh Glass Works, LLC  ",Crestline/Crawford,318,3/23/2020,(419) 569-7283,None,119-20-093*
4/14/2020,Ohio Cinema Investments LLC (Cinepolis)  ,Miamisburg/Montgomery,42,3/23/2020,(972) 993-1553,None,119-20-092*
4/14/2020,Deceuninck North America (DNA)  ,Monroe/Butler,233,4/15/2020,(513) 539-5565,None,119-20-091*
4/14/2020,ArcelorMittal Cleveland USA  ,Cleveland/Cuyahoga,48,4/12/2020,(216) 420-6062,None,119-20-090*
4/13/2020,SugarCreek Packing Co.  ,Dayton/Montgomery,94,03/26/2020-04/06/2020,(513) 551-5280,None,007-20-044
4/13/2020,"I Am Boundless, Inc.  ",Worthington/Franklin,87,4/17/2020,(614)844-3800,None,119-20-089*
4/10/2020,Agrati Tiffin  ,Tiffin/Seneca,57,4/13/2020,(330) 721-6358,None,119-20-088*
4/10/2020,Agrati Medina  ,Medina/Medina,163,4/15/2020,(330) 721-6358,"UAW, Local 3025 and UAW, Local 3045  ",119-20-087*
04/10/2020 Updated 05/11/2020,VSPOne  ,Lockbourne/Franklin,234,04/10/2020-05/01/2020,(916) 851-4889,None,119-20-086*
4/9/2020,"JSW Steel USA Ohio, Inc.  ",Mingo Junction/Jefferson,162,4/9/2020,(740) 535-8617,None,119-20-085*
04/09/2020  ,"Huhtamaki, Inc.  ",Franklin/Warren,20,4/8/2020,(913) 219-2002,None,119-20-084*
04/07/2020  ,Johns Manville  ,Defiance/Defiance,35,4/6/2020,(419) 784-7021,"United Steel, Paper, and Forestry, Rubber Manufacturing, Energy Allied Industrial & Service Workers International Union Local No. 51M and the United Auto Workers Local No. 211",119-20-083*
4/1/2020,North American Dental Group  ,Various Cities/Various Counties,443,3/23/2020,(724) 698-2641,None,119-20-082*
4/7/2020,"Hooters of America, LLC  ",Various Cities/Various Counties,134,3/16/2020,(770) 799-2302,None,119-20-081*
4/8/2020,Acoust-A-Fiber  ,Delaware/Delaware,159,03/19/22020,(614) 506-0181,None,119-20-080*
4/8/2020,Arhaus Furniture  ,Various Cities/Various Counties,188,4/3/2020,(440) 439-7700,None,119-20-079*
4/7/2020,CBC Companies  ,Columbus/Franklin,17,3/27/2020,(614) 222-5349,None,011-20-043
04/07/2020   ,G6 Hospitality LLC  ,Worthington/Columbus,70,04/13/2020-04/30/2020,(972) 360-5916,None   ,011-20-042
04/07/2020     Updated 04/10/2020 ,"Huhtamaki, Inc.  ",Batavia/Clermont,235,"04/06/2020, 04/09/2020",(913) 219-2002,None,119-20-078*
4/7/2020,"Scioto Downs, Inc. (Eldorado Scioto Downs)  ",Columbus/Franklin,420,4/11/2020,(614) 295-4035,None,119-20-077*
3/31/2020,Morris Furniture Company  ,Various Cities/Various Counties  ,269,3/22/2020,(937) 207-5695,None,119-20-076*
4/7/2020,Rayco  ,Wooster/Wayne,60,4/7/2020,(330) 264-8699,None  ,119-20-075*
4/7/2020,Benihana National Corp  ,Cincinnati/Hamilton,34,3/16/2020,(305) 702-2817,None  ,013-20-041
4/7/2020,"Samurai, Inc.  ",Cleveland/Cuyahoga,29,3/16/2020,(305) 702-2817,None  ,003-20-040
4/7/2020,Benihana Columbus Corp  ,Columbus/Delaware,37,3/16/2020,(305) 702-2817,None,007-20-039
4/6/2020,Bekaert Corporation  ,Orrville/Wayne,40,3/27/2020,(330) 765-4417,None  ,119-20-074*
04/06/2020  ,"VAM USA, LLC  ",Youngstown/Mahoning,59,4/30/2020,(281) 784-5532,None,017-20-038
04/06/2020  ,Midwest Tape LLC  ,Holland/Lucas,183,3/23/2020,(419) 868-9370,None,119-20-073*
04/06/2020  ,"Americhem, Inc.  ",Cuyahoga Falls/Summit,56,4/1/2020,(330) 929-4213,None,119-20-072*
4/6/2020,Cooper Tire & Rubber Company  ,Findlay/Hancock,797,4/6/2020,(419) 424-4332,None,119-20-071*
4/6/2020,Lamrite West  ,Strongsville/Cuyahoga,45,4/6/2020,(972) 409-5880,None,119-20-070*
4/6/2020,Superior Auto Group  ,Cincinnati/Hamilton,72,4/1/2020,(513) 554-2972,None,013-20-037
4/6/2020,"Cinemark USA, Inc.  ",Various Cities/Various Counties,1303,3/26/2020,(972) 665-1000,None,119-20-069*
04/06/2020 ,Rock & Roll Hall of Fame  ,Cleveland/Cuyahoga,108,4/12/2020,(216) 515-1974,Local B-27,119-20-068*
3/30/2020,"Goodwill Industries of Greater Cleveland & East Central Ohio, Inc.  ",Various Cities/Various Counties  ,426,3/20/2020,(440) 545-1057,None,119-20-067*
4/3/2020,Crowne Plaza Columbus Downtown  ,Columbus/Franklin,103,3/20/2020,(614) 461-2640,None,119-20-066*
4/3/2020,InterContinental Cleveland Conference Center  ,Cleveland/Cuyahoga,120,4/10/2020,(216) 707-4127,None,119-20-065*
4/2/2020,"RTW Retailwinds, Inc.  ",Various Cities/Various Counties  ,176,3/29/2020,(212) 884-2030,None,119-20-064*
4/1/2020,YUSA Corporation  ,Washington Court House/Fayette,350,3/30/2020,(740) 572-2081,None,119-20-063*
04/01/2020 Updated 06/30/2020,"Murray American Energy, Inc.  ",Saint Clairsville/Belmont,23,7/11/2020,(740) 338-3100,None,016-20-036
04/01/2020 Updated 06/30/2020,"American Natural Gas, Inc.  ",Saint Clairsville/Belmont,9,7/11/2020,(740) 338-3100,None,016-20-035
04/01/2020 Updated 06/30/2020,"American Mine Services, Inc.  ",Clarington/Monroe,37,7/11/2020,(740) 338-3100,None,015-20-034
04/01/2020 Updated 06/30/2020,American Energy Corporation  ,Beallsville/Monroe,210,7/11/2020,(740) 338-3100,None,015-20-033
04/01/2020 Updated 06/30/2020,The Ohio Valley Transloading Company  ,Powhatan Point/Belmont,4,7/11/2020,(740) 338-3100,United Mine Workers of America,016-20-032
04/01/2020 Updated 06/30/2020,The Ohio Valley Coal Company  ,Alledonia/Belmont,64,7/11/2020,(740) 338-3100,None,016-20-031
4/1/2020,Talbert House  ,Cincinnati/Hamilton,50,4/3/2020,(513) 751-7747,None,119-20-062*
4/1/2020,"Aramark Educational Services, LLC-John Carroll University  ",University Heights/Cuyahoga,102,5/15/2020,(617) 529-2435,Bakers' Union Local 19,003-20-030
3/31/2020,"MountainVision Enterprises, Inc.(The Maids of Cincinnati)  ",Cincinnati/Hamilton,23,3/23/2020,(513) 396-6900,None,119-20-061*
3/31/2020,Great Lakes Brewing Company  ,Cleveland/Cuyahoga,116,3/31/2020,(216) 325-0241,None,119-20-060*
3/31/2020,"Greenville Technology, Inc./Moriroku-North America  ",Greenville/Darke,540,3/23/2020,(937) 548-1471,None,119-20-059*
3/31/2020,ASC Airtex  ,North Canton/Stark,88,4/1/2020,(260) 4074,None,119-20-058*
3/31/2020,Busche Performance Group  ,Edon/Williams,75,Unknown,(248) 200-6690,None,119-20-057*
3/31/2020,General Aluminum Mfg. Company-Conneaut  ,Conneaut/Ashtabula,198,3/23/2020,(440) 593-8170,None,119-20-056*
03/31/2020 Updated 05/07/2020,"Great Lakes Services, LLC  ",Sandusky/Erie,802,03/16/2020-05/01/2020,(502) 648-9718,None,119-20-055*
3/31/2020,Economy Linen  ,Dayton/Montgomery,65,3/20/2020,(301) 575-0347,"Chicago Midwest Regional Joint Board/Workers United, Teamsters Local 957  ",119-20-054*
3/31/2020,Westin Cleveland Downtown  ,Cleveland/Cuyahoga,256,3/16/2020,(440) 730-4282,"IUOE Local 18, Chicago Midwest Regional Joint Board/Workers United",119-20-053*
3/31/2020,Inner Health Chiropractic  ,Columbus/Franklin,11,3/16/2020,(614) 419-5000,None,119-20-052*
3/30/2020,Brightside Academy Ohio  ,Cleveland/Cuyahoga,144,3/25/2020,(216) 777-3500,None,119-20-051*
3/30/2020,General Aluminum Mfg. Company-Ravenna  ,Ravenna/Portage,212,3/23/2020,(330) 298-7280,None,119-20-050*
3/30/2020,Paper Source  ,Woodmere/Cuyahoga,10,3/29/2020,(312) 505-7214,None,119-20-049*
3/30/2020,Paper Source  ,Columbus/Franklin,13,3/29/2020,(312) 505-7214,None,119-20-048*
3/30/2020,"Activehours, Inc-Earnin  ",Loveland/Clermont,6,4/1/2020,(650) 569-1122,None,012-20-029
3/30/2020,General Aluminum Mfg. Company-Wapakoneta  ,Wapakoneta/Auglaize,121,3/23/2020,(419) 739-8430,None,119-20-047*
3/30/2020,"GSW Manufacturing, Inc.  ",Findlay/Hancock,55,3/30/2020,(419) 423-7111,None,119-20-046*
3/30/2020,"Consolidated Metal Products, Inc.  ",Cincinnati/Hamilton,52,3/30/2020,(513) 618-0676,None,119-20-045*
3/30/2020,Ohio Star Forge Company  ,Warren/Trumbull,88,3/30/2020,(330) 847-3139,USW Local 2243,119-20-044*
3/30/2020,Beacon Orthopaedics & Sports Medicine  ,Sharonville/Hamilton,226,3/28/2020,(513) 354-3700,None,119-20-043*
3/30/2020,"America's Auto Auction Toledo, Inc.  ",Perrysburg/Wood,127,3/23/2020,(214) 736-7988,None,119-20-042*
3/30/2020,"Walsh Commercial Group, LLC  ",Cleveland/Cuyahoga,55,3/24/2020,(216) 251-5509,None,119-20-041*
3/30/2020,"Bermex, Inc.  ",Columbus/Franklin,45,3/28/2020,(586) 461-2051,None,119-20-040*
3/30/2020,Manley Deas  ,Columbus/Franklin,172,3/27/2020,(614) 754-2817,None,011-20-028
3/30/2020,"S.A. Comunale Co., Inc.  ",Barberton/Summit,3,3/23/2020,(330) 706-9424,None,119-20-039*
3/30/2020,"Crescent Metal Products, Inc.  ",Mentor/Lake,92,3/27/2020,(440) 350-1100,UAW Local 70,119-20-038*
3/30/2020,"Dedicated Logistics, Inc.  ",Hamilton/Butler,116,5/31/2020,(651)638-5529,None,012-20-027
03/26/2020 Updated 04/23/2020,NOMS Healthcare  ,Sandusky/Erie,412,3/19/2020,(419) 626-6161,None,119-20-037*
3/26/2020,Jakprints  ,Cleveland/Cuyahoga,56,3/17/2020,(216) 374-6366,None,003-20-026
3/26/2020,"Soundwich, Inc.  ",Cleveland/Cuyahoga,93,3/19/2020,(216) 535-1185,None,119-20-036*
3/26/2020,"Prestige Maintenance USA, LP  ",Various Cities/Various Counties  ,106,3/19/2020,(972) 578-9801,None,119-20-035*
