County/Parish,"WARN
No.",Notice Date,Received Date,Effective Date,Company,No. Of Employees,Address
Mecklenburg County,201900035,6/12/2019,6/12/2019,9/13/2019,Walmart,569,2118 Water Ridge Parkway  Charlotte NC 28217
Stanly County,201900036,6/18/2019,6/25/2019,8/18/2019,"Cap Yarns, LLC",129,424 W. 8th St.  Oakboro NC 28129
Alamance County,201900037,7/8/2019,7/8/2019,8/15/2019,"Decorative Fabrics of America, LLC (Burlington Manufacturing Svc",68,1305 Graham St  Burlington NC 27217
Wake County,201900038,7/8/2019,7/8/2019,8/7/2019,Deutsche Bank,51,"3000 Centre Green Way,  Cary NC 27513"
Wake County,201900039,7/12/2019,7/12/2019,9/13/2019,"Higbee LANCOMS, LP d/b/a Dillard's",84,1105 Walnut Street  Cary NC 27511
Mecklenburg County,201900040,7/22/2019,7/23/2019,9/28/2019,"TMX Healthcare Technologies, LLC (TRIMEDX) ReMedPar
Business Unit",62,10510 Twin Lakes Parkway  Charlotte NC 28269
Durham County,201900041,7/25/2019,7/25/2019,9/25/2019,"MERCK & CO INC., Varicella Bulk Manufacturing Facility",150,5325 Old Oxford Road  Durham NC 27712
Catawba County,201900042,8/1/2019,8/1/2019,9/30/2019,"Schneider National Carriers, Inc.",73,"1515 4th Street, SW  Conover NC 28613"
Durham County,201900044,8/9/2019,8/9/2019,10/9/2019,Cypress Creek Renewables,1,5310 S Alston Avenue  Durham NC 27713
Wake County,201900045,8/15/2019,8/15/2019,10/14/2019,WakeMed,100,1900 Kildaire Farm Road  Cary NC 27518
Wake County,201900045,8/15/2019,8/15/2019,10/14/2019,WakeMed,100,3000 New Bern Avenue  Raleigh NC 27610
Rutherford County,201900046,8/19/2019,8/20/2019,10/21/2019,Valley Fine Foods,53,212 Nuway Packing Rd  Forest City NC 28043
Rutherford County,201900046,8/19/2019,8/20/2019,12/31/2019,Valley Fine Foods,8,212 Nuway Packing Rd  Forest City NC 28043
Guilford County,201900047,8/21/2019,8/21/2019,11/8/2019,Diebold Nixdorf Inc.,122,1150 Pleasant Ridge Rd Ste A Greensboro NC 27409
Onslow County,201900048,8/21/2019,8/22/2019,10/31/2019,Alorica,142,1650 Gum Branch Rd  Jacksonville NC 28540
Wake County,201900049,8/29/2019,8/29/2019,10/28/2019,Toll Brothers Inc,93,1200 Keith Road  Wake Forest NC 27587
Wake County,201900049,8/29/2019,8/29/2019,10/28/2019,Toll Brothers Inc,117,9400 Club Hill Drive  Raleigh NC 27617
Durham County,201900050,9/4/2019,9/4/2019,9/23/2019,BAYER CROPSCIENCE LP,184,"2400 Ellis Road  Durham NC 27709-
0001"
Arapahoe County,201900051,8/6/2019,9/11/2019,10/5/2019,TTEC,24,9197 S. Peoria Street  Englewood CO 80112
Cleveland County,201900052,9/17/2019,9/16/2019,11/19/2019,Fiber Innovators International,105,2525 Blacksburg Road  Grover NC 28073
Henderson County,201900053,9/26/2019,9/26/2019,6/1/2021,Continental Automotive,650,One Quality Way  Fletcher NC 28732
Durham County,201900054,10/1/2019,10/2/2019,10/2/2019,"Inpax Final Mile Delivery, Inc.",37,1805 T.W. Alexander Drive  Durham NC 27703
Durham County,201900054,10/1/2019,10/2/2019,10/2/2019,"Inpax Final Mile Delivery, Inc.",99,224 North Hoover Drive Door # NW01 Durham NC 27703
Mecklenburg County,201900054,10/1/2019,10/2/2019,10/2/2019,"Inpax Final Mile Delivery, Inc.",64,3830 Parrott Drive  Charlotte NC 28214
Mecklenburg County,201900055,10/4/2019,10/4/2019,11/30/2019,QCDATA,65,"301 McCullough Drive Suite 310
Charlotte NC 28262"
Rockingham County,201900056,10/17/2019,10/17/2019,12/31/2019,"ITG Brands, known as Commonwealth Brands",110,301 North Scales Street  Reidsville NC 27323
Davidson County,201900059,10/28/2019,10/28/2019,10/28/2019,JELD-WEN Interior & Exterior Doors,135,647 Hargrave Rd  Lexington NC 27292
Mecklenburg County,201900060,10/29/2019,10/30/2019,12/30/2019,Oakwood World Wide,4,2401 Whitehall Park Dr # 650  Charlotte NC 28273
Wake County,201900060,10/29/2019,10/30/2019,12/30/2019,Oakwood Worldwide,7,"991 Aviation Pkwy Ste 600 Morrisville
NC 27560"
Wake County,201900061,10/30/2019,10/30/2019,12/31/2019,nThrive,839,"3200 Spring Forest Road Suite 200
Raleigh NC 27616"
Durham County,201900062,10/29/2019,11/4/2019,12/31/2019,FDY  INC,141,"1801 Fayetteville Street Ste. 115
Durham NC 27707"
Durham County,201900063,11/5/2019,11/8/2019,1/6/2020,"Marvell Semiconductor, Inc.",11,1000 Park Forty Plaza Fourth Floor Durham NC 27713
Carteret County,201900064,11/7/2019,11/12/2019,1/6/2020,SPX FLOW,55,170 Hankison Drive  Newport NC 28570
Orange County,201900065,11/10/2019,11/12/2019,1/12/2020,A Southern Season,70,201 S Estes Dr # 300  Chapel Hill NC 27514
Union County,201900066,11/8/2019,11/19/2019,12/5/2019,"Packers Sanitation Services, Inc.",102,2023 Hasty Street  Monroe NC 28112
Randolph County,201900067,12/16/2019,12/16/2019,3/1/2019,"Arrow International, Inc. (Teleflex)",12,312 Commerce Place  Asheboro NC 27203-0552
Mecklenburg County,20180001,1/4/2018,1/5/2018,3/9/2018,Aon Hewitt (Aon),76,7201 Hewitt Associates Drive  Charlotte NC 28262
Wake County,20180002,1/5/2018,1/8/2018,5/1/2018,Flextronics Americas LLC,69,1000 Innovation Ave 1200 Innovation Ave Morrisville NC 27560
Wake County,20180002,1/5/2018,1/8/2018,5/1/2018,Flextronics Americas LLC,69,1200 Innovation Ave  Morrisville NC 27560
Mecklenburg County,20180003,1/9/2018,1/10/2018,3/12/2018,HireRight LLC,93,"4600 Park Road, Suite 500 Charlotte NC 28209"
Mitchell County,20180007,1/3/2018,1/11/2018,3/3/2018,PRC Industries,100,165 One Genesis Way  Spruce Pine NC 28777
Robeson County,20180004,1/11/2018,1/11/2018,1/26/2018,Sams Club #4945,149,5085 Dawn Drive  Lumberton NC 28360
Wake County,20180005,1/11/2018,1/11/2018,1/26/2018,Sams Club (#6668),187,1101 Shiloh Glenn Drive  Morrisville NC 27560
Wilson County,20180006,1/11/2018,1/11/2018,1/9/2018,Absolute Plastics Llc,100,2301 Wilco Blvd S  Wilson NC 27893
Union County,20180008,1/11/2018,1/16/2018,3/31/2018,RSC Chemical Solutions,8,600 Radiator Rd.  Indian Trail NC 28079
Union County,20180008,1/11/2018,1/16/2018,4/30/2018,RSC Chemical Solutions,11,600 Radiator Rd.  Indian Trail NC 28079
Union County,20180008,1/11/2018,1/16/2018,5/31/2018,RSC Chemical Solutions,5,600 Radiator Rd.  Indian Trail NC 28079
Union County,20180008,1/11/2018,1/16/2018,6/30/2018,RSC Chemical Solutions,41,600 Radiator Rd.  Indian Trail NC 28079
Catawba County,20180009,1/29/2018,1/29/2018,3/31/2018,Conifer Revenue Cycle Solutions (Conifer),81,420 N. Center St 3560 Dallas Parkway Frisco TX 75034 Hickory NC 28601
Cumberland County,20180010,1/30/2018,1/30/2018,3/31/2018,ARMA Global Inc.,99,"4200 Morganton Road, Suite 204 2701
N. Rocky Point Drive, Suite 1150 Tampa, Fl 33607 Fayetteville NC 28314"
Mecklenburg County,20180011,1/31/2018,2/1/2018,4/1/2018,Compass Group USA (GM Charlotte),5,10815 Quality Dr  Charlotte NC 28278
Wake County,20180012,1/2/2018,2/3/2018,4/3/2018,"Conduent Commercial Solutions, LLC",267,"2641 Sumner Blvd., Ste. 100  Raleigh
NC 27616"
Nash County,20180013,2/12/2018,2/12/2018,4/12/2018,"Southeast Service Corporation
d.b.a. SSC Service Solutions (SSC)",105,930 Eastern Ave.  Nashville NC 27856
Mecklenburg County,20180014,2/13/2018,2/19/2018,4/20/2018,"Coats and Clark, Inc",18,"3430 Toringdon Way # 301  Charlotte
NC 28277"
Forsyth County,20180015,3/1/2018,3/5/2018,5/1/2018,Rockwell Collins,119,1455 Fairchild Rd  Winston Salem NC 27105
Guilford County,20180016,3/5/2018,3/5/2018,5/4/2018,Ameritox LLC,113,486 Gallimore Dairy Road  Greensboro NC 27409
Burke County,20180017,3/5/2018,3/6/2018,5/4/2018,Gildan (Peds Manufacturing Group),65,9451 Neuville Ave  Hildebran NC 28637
Mecklenburg County,20180018,3/7/2018,3/7/2018,6/30/2018,Metromont Corporation,72,4101 Greensboro Street  Charlotte NC 28206
Pasquotank County,20180019,3/14/2018,3/15/2018,5/14/2018,Farm Fresh (store #6273),86,683 Hughes Blvd.  Elizabeth City NC 27909
Pasquotank County,20180020,3/22/2018,3/28/2018,6/1/2018,DRS GES (LEONARDO DRS),114,1060 Consolidated Road  Elizabeth City NC 27909
Durham County,20180021,3/29/2018,4/2/2018,5/31/2018,Southeast Service Solutions d/b/a SSC Service Solutions (SSC),353,511 Cleveland Street 511 Cleveland Street Durham NC 27702
Cabarrus County,20180022,3/28/2018,4/3/2018,6/1/2018,"Avante at Concord, Inc.",99,515 Lake Concord Road  Concord NC 28025
Davidson County,20180022,3/28/2018,4/3/2018,6/1/2018,Avante at Thomasville Inc,64,1028 Blair Street  Thomasville NC 27360
Mecklenburg County,20180022,3/28/2018,4/3/2018,6/1/2018,"Avante at Charlotte, Inc.",82,4801 Randolph Road  Charlotte NC 28211
Pasquotank County,20180023,3/28/2018,4/3/2018,5/1/2018,Xenith Bank and Union Bank and Trust,60,112 Corporate Drive  Elizabeth City NC 27909
Rockingham County,20180022,3/28/2018,4/3/2018,6/1/2018,"Avante at at Reidsville, Inc.",95,543 Maple Avenue  Reidsville NC 27320
Wilkes County,20180022,3/28/2018,4/3/2018,6/1/2018,"Avante at Wilkesboro, Inc.",98,1000 College Street  Wilkesboro NC 28697
Wilson County,20180022,3/28/2018,4/3/2018,6/1/2018,"Avante at Wilson, Inc.",105,1804 Forest Hills Road  Wilson NC 27893
Pitt County,20180024,3/26/2018,4/4/2018,9/15/2018,Wells Fargo (Winterville),593,1451 Thomas Langston Rd  Winterville NC 28590-8872
Mecklenburg County,20180025,4/2/2018,4/9/2018,4/2/2018,Dean And DeLuca Phillips Place,73,6903 Phillips Place Ct  Charlotte NC 28210
Mecklenburg County,20180026,4/5/2018,4/11/2018,4/5/2018,Dean and DeLuca Tryon Cafe,17,201 S Tryon St  Charlotte NC 28202
Mecklenburg County,20180027,4/5/2018,4/11/2018,4/5/2018,Dean and DeLuca Stonecrest Cafe,16,7804 Rea Rd  Charlotte NC 28277
Mecklenburg County,20180028,4/18/2018,4/18/2018,6/29/2018,"DITECH Holding Corporation d/b/a Reverse Mortgage Solutions, Inc.",79,200 Regency Executive Park Drive Charlotte NC 28217
Mecklenburg County,20180030,4/20/2018,5/1/2018,7/27/2018,Sabic Innovative Plastics US LLC,83,9930 Kincey Ave  Huntersville NC 28078
Cleveland County,20180031,4/25/2018,5/2/2018,6/25/2018,"Schletter, Inc.",120,1001 Commerce Center Dr  Shelby NC 28150
Vance County,20180032,5/7/2018,5/8/2018,7/13/2018,Staples Contract and Commercial Inc.,100,1133 Poplar Creek Rd.  Henderson NC 27537
Cumberland County,20180033,5/8/2018,5/10/2018,7/7/2018,SYKES,377,921  Strickland Bridge Rd  Fayetteville NC 28304
Mecklenburg County,20180034,5/11/2018,5/14/2018,7/16/2018,Home Point Financial Corporation,54,"3525 Whitehall Park Drive Suite 500
Charlotte NC 28273"
Wayne County,20180035,5/14/2018,5/14/2018,7/16/2018,Cooper Standard Automotive Inc.,122,808 Fedelon Trail  Goldsboro NC 27530
Wayne County,20180035,5/14/2018,5/14/2018,7/16/2018,"Cooper Standard Automotive, Inc.",3,280 Woodland Church Rd  Goldsboro NC 27530
Yadkin County,20180036,5/1/2018,5/30/2018,5/1/2018,Parkdale Mills (Plant 25),63,114 Woodruff Rd  Boonville NC 27011
Harnett County,20180037,5/31/2018,5/31/2018,6/1/2018,Edwards Brothers Malloy,69,900 Edwards Brothers Drive  Lillington NC 27546
Wilson County,20180038,5/29/2018,6/1/2018,7/29/2018,"WILSON MEDICAL CENTER
(A Duke Lifepoint Hospital)",101,1705 Tarboro St. SW  Wilson NC 27893
Wake County,20180039,6/12/2018,6/13/2018,8/13/2018,"Qualcomm Datacenter Technologies, Inc. (Qualcomm)",241,8041 Arco Corporate Drive  Raleigh NC 27617
Durham County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,1802 N Pointe Dr  Durham NC 27705
Durham County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,"202 W Nc Highway 54 # 301  Durham
NC 27713"
Durham County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,3457 Hillsborough Rd  Durham NC 27705
Durham County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,3825 S Roxboro St # 101  Durham NC 27713
Durham County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,5116 N Roxboro St  Durham NC 27704
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,1273 NW Maynard Rd  Cary NC 27513
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,1371 E Broad St  Fuquay Varina NC 27526
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,2680 Timber Dr  Garner NC 27529
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,3420 Southwest Durham Dr  Durham NC 27707
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,350 E Six Forks Rd # A  Raleigh NC 27609
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,6300 Creedmoor Rd # 150  Raleigh NC 27612
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,7905 Falls of Neuse Rd  Raleigh NC 27615
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,8345 Creedmoor Rd  Raleigh NC 27613
Wake County,20180040,6/13/2018,6/15/2018,8/14/2018,Kroger,118,940 US 64 Hwy W  Apex NC 27523
Union County,20180041,6/28/2018,6/28/2018,9/15/2018,GREAT AMERICAN SNACKS,84,"2701 SIMPSON ST  Monroe NC 28112-
4120"
Mecklenburg County,20180042,6/29/2018,6/29/2018,12/31/2018,"Dream Center Education Holdings, LLC",114,2110 Water Ridge Parkway  Charlotte NC 28217
Cleveland County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,110 North Lafayette Street  Shelby NC 28150
Cleveland County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,201 E. Grover Street  Shelby NC 28150
Cleveland County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,706  W. King Street  Kings Mountain NC 28086
Lincoln County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,1585 Forney Creek Pkwy.  Denver NC 28037
Lincoln County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,433 McAlister Road  Lincolnton NC 28092
Mecklenburg County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,1001 Blythe Blvd  Charlotte NC 28203
Mecklenburg County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,10628 Park Road  Charlotte NC 28210
Mecklenburg County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,927 East Boulevard  Charlotte NC 28203
Mecklenburg County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,20,1000 Blythe Blvd  Charlotte NC 28203
Mecklenburg County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC (Carolinas Medical Center Mercy),13,2001 Vail Avenue  Charlotte NC 28207
Union County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC,13,6068 W Highway  Indian Trail NC 28079
Union County,20180043,6/29/2018,7/2/2018,8/31/2018,American Anesthesiology of Southeast PLLC(Carolinas Healthcare System-Union),13,600 Hospital Drive  Monroe NC 28112
Guilford County,20180044,7/9/2018,7/9/2018,9/7/2018,"Serta Simmons Bedding, LLC (SSB Manufacturing Company)",112,6540 Judge Adams Rd  Whitsett NC 27377
Burke County,20180045,7/10/2018,7/10/2018,9/13/2018,GILDAN (Peds Manufacturing Group),100,9451 Neuville Avenue  Hildebran NC 28637
Wilson County,20180046,5/31/2018,7/13/2018,8/3/2018,"LM Farms, LLC dba Gardens Alive! Farms",200,"7437 ROCK RIDGE SIMS RD  Sims NC
27880"
Craven County,20180048,7/20/2018,7/20/2018,7/31/2018,"International Healthcare Staffing Alliance, LLC  (Cherry Point)",42,Bldg 4389 Beaufort Road  Cherry Point NC 28533
Onslow County,20180047,7/19/2018,7/20/2018,7/31/2018,Spectrum Healthcare Resources,53,100 Brewster Blvd  Camp Lejeune NC 28547
Onslow County,20180048,7/20/2018,7/20/2018,7/31/2018,International Healthcare Staffing Alliance,43,100 Brewster Blvd.  Camp Lejeune NC 28547
Mecklenburg County,20180049,8/16/2018,8/16/2018,10/19/2018,WestRock,170,2750 Whitehall Park Dr  Charlotte NC 28273
Caldwell County,20180050,8/28/2018,8/28/2018,10/28/2018,HERITAGE HOME GROUP LLC,226,315 Elizabeth St.  Lenoir NC 28645
Caldwell County,20180050,8/28/2018,8/28/2018,10/28/2018,HERITAGE HOME GROUP LLC,486,830 Complex Street  Lenoir NC 28645
Johnston County,20180051,8/30/2018,8/31/2018,10/7/2018,Smithfield Fresh Meats Corp (Clayton Distribution Center),102,1053 Shotwell Rd  Clayton NC 27520
Durham County,20180052,9/5/2018,9/5/2018,12/5/2018,GlaxoSmithKline,100,5 Moore Drive  Durham NC 27709
Cabarrus County,20180053,9/6/2018,9/6/2018,11/5/2018,PRODUCTS QUEST MANFACTURING LLC,148,2865 North Cannon Boulevard Kannapolis NC 28083
Cabarrus County,20180053,9/6/2018,9/6/2018,11/5/2018,PRODUCTS QUEST MANFACTURING LLC,148,411 International Drive NW  Concord NC 28027
Lee County,20180054,9/12/2018,9/12/2018,12/12/2018,Static Control Components,66,4464 Swanns Station Rd  Sanford NC 27332
Lee County,20180054,9/12/2018,9/12/2018,12/12/2018,STATIC CONTROL COMPONENTS INC,25,3010 LEE AVENUE  Sanford NC 27331
Lee County,20180054,9/12/2018,9/12/2018,12/12/2018,Static Control Components Inc,73,2801 Lemon Springs Rd  Sanford NC 27332
Lee County,20180054,9/12/2018,9/12/2018,12/12/2018,"Static Control Components, Inc.",74,2903 Lee Avenue  Sanford NC 27332
Mecklenburg County,20180055,9/18/2018,9/19/2018,11/19/2018,"Dollar Tree, Inc. (Family Dollar)",200,10401 Monroe Road  Matthews NC 28105
Davidson County,20180057,10/2/2018,10/2/2018,12/1/2018,Heritage Home Group LLC (Thomasville),34,115 Morrison Ave.  Thomasville NC 27360
Guilford County,20180056,10/2/2018,10/2/2018,12/1/2018,Heritage Home Group LLC (Highpoint),115,1925 Eastchester Drive  High Point NC 27265
Alamance County,20180058,11/1/2018,11/1/2018,1/1/2019,Copland Fabrics Inc,103,1714 Carolina Mill Rd  Burlington NC 27217
Alamance County,20180059,11/1/2018,11/1/2018,1/2/2019,Copland Industries Inc,43,1714 Carolina Mill Rd  Burlington NC 27217
Alamance County,20180059,11/1/2018,11/1/2018,1/2/2019,Copland Industries Inc,43,908 Sandy Cross Road  Burlington NC 27217
Mecklenburg County,20180060,11/2/2018,11/5/2018,12/31/2018,BASF Care Chemicals,27,3304 Westinghouse Blvd  Charlotte NC 28273
Mecklenburg County,20180060,11/2/2018,11/5/2018,12/31/2018,BASF Dispersions & Pigments,26,11501 Steele Creek Rd  Charlotte NC 28273
Person County,20180061,11/1/2018,11/6/2018,12/31/2018,Boise Cascade Company,58,1000 N Park Dr.  Roxboro NC 27573
Guilford County,20180062,10/30/2018,11/7/2018,12/31/2018,Transdev Services,280,223 W. Meadowview Road  Greensboro NC 27401
Pitt County,20180063,11/7/2018,11/7/2018,1/7/2019,"Pyxus International, Inc. (f/k/a Alliance One Internternational, Inc.)",565,8958 West Marlboro Rd  Farmville NC 27828
Wake County,20180064,11/8/2018,11/9/2018,1/7/2019,DAL Global Services LLC (DGS),320,2400 John Brantley Blvd  Morrisville NC 27560
Mecklenburg County,20180065,11/8/2018,11/14/2018,1/7/2019,Orano Federal Services LLC,15,"10101 David Taylor Drive Suite 200
Charlotte NC 28262"
Chatham County,20180066,11/15/2018,11/27/2018,1/15/2019,Advanced Sports Enterprises,200,144 Old Lystra Rd  Chapel Hill NC 27517
Wake County,20180067,12/6/2018,12/6/2018,2/6/2019,Qualcomm Datacenter Technologies Inc,144,8041 Arco Corporate Drive  Raleigh NC 27617
Davidson County,20180068,12/13/2018,12/13/2018,12/14/2018,Leggett & Platt Inc.,158,3040 Jr. Order Home Road  Lexington NC 27292
Randolph County,20180069,12/28/2018,12/28/2018,11/1/2018,Arrow International Incorporated a subsidary of Teleflex,13,312 Commerce Pl  Asheboro NC 27203
