Company,Company Address,Company Address - 2,City/Town,State,Zip,Contact,Contact Phone Number,Ext,Employees Affected,Notice Date,Impact Date,Location City,Location State,Closure,Layoff,Permanent Reduction,Realignment,Collective Bargaining Unit,Region
The Ritz Carlton Pentagon City,*Due to COVID-19,1250 South Hayes Street,Arlington,VA,22202,Steven  Gibbs,(703) 412-2743,,240,6/3/2020,3/14/2020,Arlington,VA,No,Yes,No,No,,Northern
Residence Inn Arlington Capital View ,*Due to COVID-19,2850 South Potomac Ave, Arlington ,VA,22202,Esmeralda  Florez-Prieto,(571) 814-4032,,60,6/3/2020,3/14/2020,Arlington,VA,No,Yes,No,No,,Northern
Hyatt Regency-Crystal City,*Due to COVID-19,Hyatt Regency-Crystal City,Arlington,VA,22202,Kevin  Kennedy,(703) 413-6730,,151,6/2/2020,3/13/2020,Arlington,VA,No,Yes,No,No,,Northern
Courtyard (by Marriott) - Arlington Crystal City/Reagan National Airport,*Due to COVID-19,2899 Richmond Highway,Arlington,VA,22202,Virginie  Regent,(703) 338-1599,,68,6/2/2020,3/8/2020,Arlington,VA,No,Yes,No,No,,Northern
Marriott Key Bridge,*Due to COVID-19,1401 Lee Highway,Arlington,VA,22209,Modesta  Ventura, (703) 906-2150,,202,6/2/2020,3/17/2020,Arlington,VA,No,Yes,No,No,,Northern
NortonLifeLock Inc.,350 Ellis Street,,Mountain View,CA,940443,Tracey Bye,(650) 527-5081,,6,6/1/2020,7/1/2020,Herndon,VA,No,Yes,No,No,,Northern
Le Meridien Arlington,*Due to COVID-19,1121 19th St. North,Arlington,VA,22209,Dorothea Samuel,(703) 271-6649,,44,5/29/2020,5/27/2020,Arlington,VA,No,Yes,No,No,,Northern
The Westin - Reston Heights,*Due to COVID-19, 11750 Sunrise Valley Drive,Reston,VA,20191,Viridiana  Jackson,(703) 391-9000,,32,5/27/2020,5/26/2020,Reston,VA,No,Yes,No,No,,Northern
" The Virginian~Pilot Media Companies, LLC ",5429 Greenwich Road,,Virginia Beach,VA,23462,Amanda  LaPietra,(757) 446-2530,,131,5/26/2020,7/26/2020,Virginia Beach,VA,Yes,No,No,No,,Eastern
Hyatt Regency Reston,*Due to COVID-19, 1800 Presidents Street,Reston,VA,20190,Tyson  Warren,(703) 925-8200,,88,5/26/2020,3/17/2020,Reston,VA,No,Yes,No,No,,Northern
 Sheraton Pentagon City ,*Due to COVID-19,900 South Orne Street,Arlington,VA,22204,Dorthea  Samuel,(703) 271-6649,,100,5/26/2020,5/26/2020,Arlington,VA,No,Yes,No,No,,Northern
"Embassy Suites Tysons Corner (Merritt Hospitality, LLC) ",*Due to COVID-19,8517 Leesburg Pike,Vienna,VA,22182,Julie Welch,(703) 883-0707,,42,5/25/2020,5/25/2020,Vienna,VA,No,Yes,No,No,,Northern
Hilton Alexandria Mark Center,*Due to COVID-19,5000 Seminary Road,Alexandria,VA,22311,Greg Langweg,(703) 408-9314,,177,5/22/2020,5/4/2020,Alexandria,VA,No,Yes,No,No,,Northern
Amentum,"4800 Westfields Blvd., Suite 400",,Chantilly,VA,20151,Lina  Mohamed,(703) 995-1350,,40,5/18/2020,6/16/2020,Chantilly ,VA,No,Yes,No,No,,Northern
B. F. Saul Company Hospitality Group (Holiday Inn Dulles),*Due to COVID-19,"7501 Wisconsin Ave., Suite 1500E",Bethesda,MD,20814,Stephanie Ho,(301) 986-6291,,52,5/18/2020,3/24/2020,Sterling,VA,No,Yes,No,No,,Northern
B. F. Saul Company Hospitality Group (Holiday Inn National Airport),*Due to COVID-19,"7501 Wisconsin Ave., Suite 1500E",Bethesda,MD,20814,Stephanie Ho,(301) 986-6291,,52,5/18/2020,3/24/2020,Arlington,VA,No,Yes,No,No,,Northern
B. F. Saul Company Hospitality Group (Doubletree Tysons) ,*Due to Covid-19,"7501 Wisconsin Ave., Suite 1500E",Bethesda,MD,20814,Stephanie Ho,(301) 986-6291,,57,5/18/2020,3/24/2020,McLean,VA,No,Yes,No,No,,Northern
B. F. Saul Company Hospitality Group (Crowne Plaza National Airport),*Due to COVID-19,"7501 Wisconsin Ave., Suite 1500E",Bethesda,MD,20814,Stepahanie Ho,(301) 986-6291,,50,5/18/2020,3/24/2020,Arlington,VA,No,Yes,No,No,,Northern
 Salamander Resort & Spa,500 N. Pendleton Street,,Middleburg,VA,20117,Reggie  Cooper,(540) 326-4101,,225,5/15/2020,3/23/2020,Middleburg,VA,No,Yes,No,No,,Northern
Cerner Corporation,2800 Rock Creek Pkwy,,Kansas City,MO,64117,Erin  Kohler,(816) 201-5186,,1,5/15/2020,7/15/2020,Reston,VA,No,Yes,No,No,,Northern
Hilton Arlington & Towers Hotel,*Due to COVID-19,950 N Stafford Street,Arlington,VA,22203,Ray Green,(703) 812-5122,,98,5/13/2020,5/31/2020,Arlington,VA,No,Yes,No,No,,Northern
Nordstrom,"1700 7th Ave., Suite 1000",,Seattle,WA,98101,Mary Porter,(855) 667-3947,,189,5/12/2020,5/14/2020,Richmond,VA,Yes,No,No,No,,Central
Atrium Hospitality Embassy Suites Hampton,*Due to COVID-19,1700 Coliseum Drive,Hampton,VA,23666,LaToya Williams,(678) 335-6956,1509,130,5/12/2020,3/12/2020,Hampton,VA,No,Yes,No,No,,Eastern
Cox Automotive,*Due to COVID-19,6205-A Peachtree Dunwoody Rd.,Atlanta ,GA,30328,Contance Walters,(678) 645-2220,,149,5/8/2020,5/17/2020,Fredericksburg,VA,No,Yes,No,No,,Eastern
Cox Automotive,*Due to COVID-19,6205-A Peachtree Dunwoody Rd.,Atlanta,GA,30328,Constance Walters,(678) 645-2220,,55,5/8/2020,5/17/2020,Harrisonburg,VA,No,Yes,No,No,,South Central
Medical Faculty Associates,2150 Pennsylvania Ave NW,,Washington,DC,20037,Ali  Abrishami,(202) 677-6531,,117,5/5/2020,7/5/2020,"Arlington, Alexandria & Reston",VA,Yes,No,No,No,,Northern
Shutterfly Inc.,2800 Bridge Parkway,,Redwood City,CA,94065,Rex Buxton,(952) 826-5645,,308,5/4/2020,5/15/2020,Chesapeake,VA,Yes,No,No,No,,Eastern
Cenveo Corporation,"200 First Stamford Place, Second Floor",,Stamford,CT,6902,Gina  Genuario,(203) 595-3016,,184,5/4/2020,5/4/2020,Richmond,VA,Yes,No,No,No,,Central
Barcelona Wine Bar,*Due to COVID-19,12023 Town Square Street,Reston,VA,20190,Belen Ruiz,(203) 854-5600,,66,5/2/2020,3/18/2020,Reston,VA,No,Yes,No,No,,Northern
Marriott Fairfax at Fair Oak,*Due to COVID-19,11787 Lee Jackson Memorial Highway,Fairfax,VA,22033,Laura Warner,(703) 563-4931,,81,5/1/2020,3/21/2020,Fairfax ,VA,No,Yes,No,No,,Northern
Holiday Inn Alexandria Old Town ,*Due to COVID-19,625 First Street,Alexandria ,VA,22314,Laura Warner,(703) 563-4931,,5,4/30/2020,3/23/2020,Alexandria,VA,No,Yes,No,No,,Northern
"Unilin North America, LLC (Mohawk Flooring)",100 Maxine Road,,Danville,VA,24541,Chaquetta Hill ,(434) 793-4647 ,3130,135,4/30/2020,6/30/2020,Danville,VA,Yes,No,No,No,,South Central
Regal Cinemas,*Due to COVID-19,101 E. Blount Avenue,Knoxville,TN,37920,Lorie  Walker,(865) 922-1123,,67,4/29/2020,3/17/2020,Springfield,VA,No,Yes,No,No,,Northern
Bloomin' Brands (Bonefish Grill) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,116,4/27/2020,3/21/2020,Midlothian & Glen Allen,VA,No,Yes,No,No,,Central
Bloomin' Brands (Fleming's) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa ,FL,33607,Ivette Kaptzan,(813) 282-1225,,40,4/27/2020,3/21/2020,Richmond,VA,No,Yes,No,No,,Central
Bloomin' Brands (Carrabba's Italian Grill) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,115,4/27/2020,3/21/2020,Richmond & Glen Allen,VA,No,Yes,No,No,,Central
Bloomin' Brands (Bonefish Grill) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,291,4/27/2020,3/15/2020,"Alexandria, Arlington, Ashburn, Centreville, Fairfax & Gainesville",VA,No,Yes,No,No,,Northern
Bloomin' Brands (Carrabba's Italian Grill) ,*Due to COVID-19,"2202 N. West Shore Blvd, 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,224,4/27/2020,3/15/2020,"Centreville, Reston, Winchester & Woodbridge",VA,No,Yes,No,No,,Northern
Bloomin' Brands (Fleming's),*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor ",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,45,4/27/2020,3/15/2020,McLean,VA,No,Yes,No,No,,Northern
Bloomin' Brands (Outback Steakhouse),*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,455,4/27/2020,3/15/2020,"Herndon, Woodbridge, Clifton, Springfield, Fairfax, Arlington & Vienna ",VA,No,Yes,No,No,,Northern
Bloomin' Brands (Outback Steakhouse) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,281,4/27/2020,3/15/2020,"Alexandria, Sterling, Warrenton & Winchester",VA,No,Yes,No,No,,Northern
Bloomin' Brands (Outback Steakhouse),*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,177,4/27/2020,3/15/2020,Roanoke,VA,No,Yes,No,No,,Western
Bloomin' Brands (Bonfish Grill) ,*Due to COVID-19,"2202 N. West Shore Blvd, 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,201,4/27/2020,3/21/2020,"Federicksburg, Newport News, Virginia Beach & Williamsburg",VA,No,Yes,No,No,,Eastern
Bloomin' Brands (Carrabba's Italian Grill) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette  Kaptzan,(813) 282-1225,,59,4/27/2020,3/15/2020,Roanoke,VA,No,Yes,No,No,,Western
Bloomin' Brands (Carrabba's Italian Grill) ,*Due to COVID-19,"2201 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,319,4/27/2020,3/21/2020,"Fredericksburg, Chesapeake, Newport News, Virginia Beach & Williamsburg",VA,No,Yes,No,No,,Eastern
Bloomin' Brands (Outback Steakhouse) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,524,4/27/2020,3/21/2020,"Fredericksburg, Virginia Beach, Newport News, Chesapeake & Hampton",VA,No,Yes,No,No,,Eastern
Bloomin' Brands (Bonefish Grill),*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa ,FL,33607,Ivette Kaptzan,(813) 282-1225,,44,4/27/2020,3/21/2020,Charlottesville,VA,No,Yes,No,No,,South Central
Bloomin' Brands (Outback Steakhouse),*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa ,FL,33607,Ivette Kaptzan,(813) 282-1225,,384,4/27/2020,3/21/2020,"Charlottesville, Harrisonburg, Waynesboro, Lynchburg & Danville",VA,No,Yes,No,No,,South Central
Bloomin's Brands (Outback Steakhouse) ,*Due to COVID-19,"2202 N. West Shore Blvd., 5th Floor",Tampa,FL,33607,Ivette Kaptzan,(813) 282-1225,,326,4/27/2020,3/21/2020,"Richmond, Mechanicsville & Midlothian",VA,No,Yes,No,No,,Central
Hertz,8501 Williams Road,,Estero,FL,33928,Karen  Gittleman,(239) 301-7018,,50,4/24/2020,4/14/2020,Arlington,VA,No,Yes,No,No,"Rudolph Gardner, IBT, Local 922, 2120 Bladensburg Road Northeast #102, Washington, DC 20018; Milton Payne, President, IAM, District 12/Local Lodge 1486, 9110 Bridgewater St., College Park, MD 20740 ",Northern
Hilton Richmond Downtown,*COVID-19,"812 Gravier Street, #200","New Orleans,",LA,70115,Leslie  Morales,(504) 566-0204,,109,4/24/2020,3/23/2020,Richmond,VA,No,Yes,No,No,,Central
Enterprise Holdings,323 Alexander Lee Parkway,,Williamsburg,VA,23185,Andrea Mann,(757) 476-7929,,84,4/24/2020,4/24/2020,Norfolk,VA,No,Yes,No,No,,Eastern
Enterprise Holdings,323 Alexander Lee Parkway,,Williamsburg,VA,23185,Andrea Mann,(757) 476-7929,,78,4/24/2020,4/24/2020,Richmond & Sandston,VA,No,Yes,No,No,,Central
"Visionworks, Inc. ",*Due to COVID-19,175 East Houston Street,"San Antonio,",TX,78205,Jennifer Padilla,(833) 663-4748,,6,4/23/2020,3/21/2020,Charlottesville,VA,No,Yes,No,No,,South Central
"Visionworks, Inc. ",*Due to COVID-19,175 East Houston Street,San Antonio,TX,78205,Jennifer  Padilla,(833) 663-4748,,19,4/23/2020,4/4/2020,"Hampton, Virginia Beach, Williamsburg & Norfolk",VA,No,Yes,No,No,,Eastern
"Visionworks, Inc. ",*Due to COVID-19,175 East Houston Street,San Antonio,TX,78205,Jennifer  Padilla,(833) 663-4748,,1,4/23/2020,4/4/2020,Midlothian,VA,No,Yes,No,No,,Central
"Visionworks, Inc. ",*Due to COVID-19,175 East Houston Street,San Antonio,TX,78205,Jennifer Padilla,(833) 663-4748,,99,4/23/2020,3/21/2020,"Fairfax, Arlington, Bailey's Crossroad, Manassas, Prince William, Reston, Herndon & Springfield",VA,No,Yes,No,No,,Northern
"Visionworks, Inc. ",*Due to COVID-19,175 East Houston Street,San Antonio,TX,78205,Jennifer  Padilla,(833) 663-4748,,44,4/23/2020,3/21/2020,"Vienna, Sterling, Alexandria & Leesburg",VA,No,Yes,No,No,,Northern
"Eastern Specialty Finance, Inc. ",*Due to COVID-19,"7755 Montgomery Road, Suite 400",Cincinnati ,OH,45236,Shannon Weigand,(513) 430-9332,,4,4/21/2020,5/1/2020,Richmond & Mechanicsville,VA,No,Yes,No,No,,Central
Eastern Specialty Finance Inc.,*Due to COVID-19,"7755 Montgomery Rd., Suite 400",Cincinnati,OH,45236,Shannon  Weigand,(513) 430-9332,,5,4/21/2020,5/1/2020,"Norfolk, Hampton, Tappahannock, Fredericksburg & Newport News",VA,No,Yes,No,No,,Eastern
Enterprise Holdings ,*Due to COVID-19,4700 Eisenhower Avenue,Alexandria,VA,22304,Lara  Manville,(703) 371-7011,,77,4/20/2020,3/28/2020,Arlington & Dulles,VA,No,Yes,No,No,"Teamsters #922, and Rudolph Gardner, 2120 Bladensburg Rd., NE, Ste 209, Washington, DC 20018",Northern
Eat'n Park Hospitality Group,*Due to COVID-19,285 E. Waterfront Drive,Homestead,PA,15120,Tony White,(412) 461-2000,2015,192,4/17/2020,3/9/2020,Bridgewater & Lexington,VA,No,Yes,No,No,,South Central
The Tile Shop,14000 Carlson Parkway,,Plymouth,MN,55441,Marcy Rasmussen,(763) 852-2994,,12,4/15/2020,3/26/2020,Ridgway,VA,Yes,No,No,No,,South Central
Hyatt Centric,*Due to COVID-19,1325 Wilson Blvd,Arlington,VA,22209,Rosa Henriquez,(240) 499-4407,,79,4/13/2020,3/18/2020,Arlington,VA,No,Yes,No,No,,Northern
Ames Cleaners and Formal Inc.,*Due to COVID-19,554 East Mercury Boulevard,Hampton,VA,23663,Chris Ames,(757) 285-3337,,25,4/13/2020,3/23/2020,Hampton,VA,No,Yes,No,No,,Eastern
Allied Aviation Fueling Co. ,*Due to COVID-19,2401 Smith Blvd,Arlington,VA,22202,Edward  Rose,(626) 347-7522,,7,4/10/2020,4/10/2020,Arlington,VA,No,Yes,No,No,"International Association of Machinists and Aerospace Workers, AFL-CIO, District 42",Northern
The Westin Virginia Beach Town Center,*Due to COVID-19,"3950 University Drive, Suite 301",Fairfax,VA,22030,Denise  Reynolds,(571) 529-6362,,115,4/10/2020,3/25/2020,Virginia Beach,VA,No,Yes,No,No,,Eastern
Utility Trailer Manufacturing Company,13160 Monroe Road,,Glade Spring,VA,24340,Tim McVey,(276) 429-4540,5104,326,4/9/2020,6/9/2020,Glade Spring,VA,No,Yes,No,No,,Western
Pleasant Valley Medical Center,*Due to COVID-19,4221 Pleasant Valley Road #114,Virginia Beach,VA,23464,,(757) 496-7420,,2,4/9/2020,3/25/2020,Virginia Beach,VA,No,Yes,No,No,,Eastern
Jim Koons Automotive Companies,*Due to COVID-19,2000 Chain Bridge Road,Vienna,VA,22182,Karin Brumbaugh,(703) 448-7062,,148,4/9/2020,3/23/2020,"Alexandria, Arlington, Falls Church, Sterling, Vienna & Woodbridge",VA,No,Yes,No,No,,Northern
Sysco,*Due to COVID-19,1000 Baugh Drive,Front Royal,VA,22630,Karen Peer,(540) 631-2384,,111,4/8/2020,3/20/2020,Front Royal,VA,No,Yes,No,No,,Northern
Sysco,Northeast Redistribution Center,1000 Baugh Drive,Front Royal,VA,22630,Karen Peer,(540) 631-2384,,17,4/8/2020,3/20/2020,Front Royal,VA,No,Yes,No,No,,Northern
IGS,*Due to COVID-19,7600 Whitepine Road,Richmond,VA,23237,Margie Cain,(804) 380-7348,,73,4/8/2020,3/26/2020,Chesterfield,VA,No,Yes,No,No,,Central
Kaiser Aluminum ,*Due to COVID-19,"27422 Portola Parkway, Suite 200",Foothill Ranch ,CA,92610,Jayne Sabo,(949) 614-1734,,78,4/8/2020,4/3/2020,Richmond,VA,No,Yes,No,No,,Central
Avianca ,*Due to COVID-19,"8333 NW 53rd St., Suite 100",Doral,FL,33166,Roxana Penutt,(305) 599-7200,3050,4,4/7/2020,4/1/2020,Dulles,VA,No,Yes,No,No,,Northern
G2 Secure Staff,*COVID-19,"400 E. Las Colinas Blvd, Suite 750",Irving,TX,75039,Tonya Holt,(972) 665-7209,,66,4/7/2020,3/27/2020,Arlington,VA,No,Yes,No,No,"SEUIU-32BJ, Manhattan Office, 25 West 18th St., New York, NY 10011",Northern
Washington Golf and Country Club,*Due to COVID-19,3017 Glebe Road,Arlington,VA,22207,Susan  Elliot,(703) 558-0566,,188,4/6/2020,4/6/2020,Arlington,VA,No,Yes,No,No,,Northern
Bear Down Logistics,4101 Carolina Avenue,,Richmond,VA,23222,Michael  Dipiazza,(708) 707-0461,,75,4/6/2020,4/8/2020,Richmond,VA,Yes,No,No,No,,Central
Miller's Ale House,*Due to COVID-19,"5750 Major Blvd, Suite 400",Orlando,FL,32819,Patti Nash,(407) 547-1219,,73,4/6/2020,3/21/2020,Sterling,VA,No,Yes,No,No,,Northern
Asbury Automotive Group - Richmond BMW Midlothian ,*Due to COVID-19,2905 Premiere Pkwy #300,Duluth ,GA,30097,Jed Milstein,(770) 418-8309,,16,4/3/2020,4/3/2020,Midlothian,VA,No,Yes,No,No,,Central
OneWeb,*Due to COVID-19,"1785 Greensboro Station Place, Tower 3",McLean,VA,22102,Heid Dillard,(571) 399-8996,,301,4/3/2020,3/20/2020,McLean,VA,No,Yes,No,No,,Northern
Westwood Country Club,*Due to COVID-19,800 Maple Avenue East,Vienna,VA,22180,Bryan  Stone,(703) 938-3139,,90,4/3/2020,4/6/2020,Vienna ,VA,No,Yes,No,No,,Northern
Asbury Automotive Group-Richmond BMW,*Due to COVID-19,2905 Premiere Pkwy #300,Duluth,GA,30097,Jed Milstein,(770) 418-8309,,11,4/3/2020,4/3/2020,Richmond,VA,No,Yes,No,No,,Central
Asbury Automotive Group-Crown Acura,*Due to COVID-19,2905 Premiere Pkwy #300,Duluth,GA,30097,Jed  Milstein,(770) 418-8309,,8,4/3/2020,4/3/2020,Richmond,VA,No,Yes,No,No,,Central
Asbury Automotive Group-Crown MINI,*Due to COVID-19,2905 Premiere Pkwy # 300,Duluth,GA,30097,Jed Milstein,(770) 418-8309,,6,4/3/2020,4/6/2020,Richmond,VA,No,Yes,No,No,,Central
Benihana National Corporation,*Due to COVID-19,21500 Biscayne Blvd Suite 900,Aventura,FL,33180,Sandra Cintado,(305) 702-2817,,22,4/2/2020,3/17/2020,Dulles ,VA,No,Yes,No,No,,Northern
"Trump National Golf Club Washington, D.C., LLC",*Due to COVID-19,20393 Lowes Island Blvd,Potomac Falls,VA,20165,Kevin Morris,(703) 444-4801,,102,4/2/2020,4/2/2020,Potomac Falls,VA,No,Yes,No,No,,Northern
"DTI Management, LLC ",*Due to COVID-19,"2700 South Quincy Street, Suite 250",Arlington,VA,22206,Jonathan Lieberman,(917) 697-2100,,70,4/1/2020,4/1/2020,Arlington,VA,No,Yes,No,No,,Northern
"Scholle IPN Packaging, Inc.",*Due to COVID-19,2200 West North Avenue,Northlake ,IL,60164,Fadil Bushati,(708) 409-9229,,128,4/1/2020,4/5/2020,Chilhowie,VA,No,Yes,No,No,,Western
"Roger Brown's Sports Bar & Restaurant, Inc.",*Due to COVID-19,316 High Street,Portmouth,VA,23704,Curtis Lyons,(757) 617-3766,,46,4/1/2020,3/18/2020,Portsmouth,VA,No,Yes,No,No,,Eastern
Martin-Bower Compnay,*Due to COVID-19,12501 Randolph Ridge Lane,Manassass,VA,20109,David Gabrielson,(703) 468-2900,,61,4/1/2020,4/1/2020,Manassas,VA,No,Yes,No,No,Union Local 639,Northern
Bartaco,*Due to COVID-19,"2920 District Avenue, Suite 120",Fairfax,VA,22301,Marc Hinson,(571) 549-8226,,175,4/1/2020,3/21/2020,Fairfax & Reston,VA,No,Yes,No,No,,Northern
Super Shoes,*Due to COVID-19,124 W. Putnam Ave,Greenwich,CT,6830,Mark  McGranahan,(203) 273-6765,,33,3/31/2020,3/20/2020,"Staunton, Charlottesville, Lynchburg & Harrisonburg",VA,No,Yes,No,No,,South Central
"OTG DCA Venture II, LLC ",*Due to COVID-19 ,1501 Lower State Road,North Wales ,PA,19454,Brett Byers,(646) 457-0336,,121,3/31/2020,3/16/2020,Arlington,VA,No,Yes,No,No,"Unite Here Local 23, 1225 S Clark St., Suite 504 Arlington, VA 22202",Northern
Crescent Hotels & Resorts ,*Due to COVID-19,8661 Leesburg Pike,Tysons,VA,22182,Laura Warner,(703) 563-4931,,171,3/31/2020,4/3/2020,Tysons,VA,No,Yes,No,No,"John Boardman, UniteHere Local 25, 901K Street, NW, Washington, DC 20001 ",Northern
Jim's Formal Wear,*Due to COVID-19,804 East Broadway,Trenton,IL,62293,Shannon Wilson,(618) 224-2935,,44,3/31/2020,3/20/2020,Richmond,VA,No,Yes,No,No,,Central
Jackson's Mighty Fine Food & Luck Lounge ,*Due to COVID-19,11927 Democracy Drive,Reston,VA,20190,Jon ,(703) 437-0800,,137,3/30/2020,3/20/2020,Reston,VA,No,Yes,No,No,,Northern
First Home Care,1634 London Blvd,,Portsmouth,VA,23704,Conny Goode,(757) 967-8405,,43,3/30/2020,4/11/2020,Newport News & Portsmouth,VA,Yes,No,No,No,,Eastern
First Home Care Mental Health Services,1634 London Blvd,,Portsmouth ,VA,23704,Conny Goode,(757) 967-8405,,18,3/30/2020,4/11/2020,Richmond,VA,Yes,No,No,No,,Central
Costal Flats Tysons,*Due to COVID-19,7860-L Tyson's Corner Center,McLean,VA,22102,Jon Norton,(703) 356-1440,,135,3/30/2020,3/30/2020,McLean,VA,No,Yes,No,No,,Northern
The Alexandrian Hotel,*Due to COVID-19,480 King Street,Alexandria,VA,22314,Nicole Pinkham,(703) 842-2766,,115,3/28/2020,3/13/2020,Alexandria,VA,No,Yes,No,No,,Northern
IHG Army Hotels,*Due to COVID-19,2301 Mahone Avenue,Fort Lee,VA,23801,Michael Bayer,(804) 733-4100,68006,74,3/27/2020,3/27/2020,Fort Lee,VA,No,Yes,No,No,,Central
Paper Source,*Due to COVID-19,125 South Clark Street,Chicago,IL,60603,Rhonda Dutmer,(312) 505-7214,,44,3/27/2020,3/29/2020,"Fairfax, Alexandria & Reston",VA,No,Yes,No,No,,Northern
Paper Source,*Due to COVID-19,125 South Clark Street,Chicago,IL,60603,Rhonda Dutmer,(312) 505-7214,,6,3/27/2020,3/29/2020,Virginia Beach,VA,No,Yes,No,No,,Eastern
Alsco,*Due to COVID-19,505 East South Temple ,Salt Lake City,UT,84102,James  Fox,(804) 526-3722,,114,3/27/2020,3/18/2020,Colonial Heights ,VA,No,Yes,No,No,Workers Unite-Mid Atlantic Region Joint Board and The International Brotherhood of Teamsters,Central
Paper Source,*Due to COVID-19,125 South Clark Street,Chicago,IL,60603,Rhonda Dutmer,(312) 505-7214,,11,3/27/2020,3/29/2020,Richmond,VA,No,Yes,No,No,,Central
Alsco,*Due to COVID-19,725 S. Pickett Street,Alexandria,VA,22304,Jennifer   Crawford-Gomez,(703) 751-5783,3013,102,3/27/2020,3/19/2020,Alexandria,VA,No,Yes,No,No,Workers Unite-Mid Atlantic Regional Joint Board and the International Brotherhood of Teamsters  ,Northern
Suit Supply Inc.,*Due to COVID-19,453 Brooms Street,New York,NY,10013,Lee Wilson,(252) 258-5617,,19,3/26/2020,3/29/2020,McLean,VA,No,Yes,No,No,,Northern
